Class,Samples,Top-1,Top-3,Top-5
A10,106,27.36,58.49,72.64
A400M,72,45.83,58.33,62.5
AG600,40,42.5,55.0,62.5
AH64,66,53.03,72.73,74.24
AV8B,67,40.3,55.22,68.66
An124,30,13.33,40.0,50.0
An22,14,0.0,21.43,28.57
An225,14,0.0,0.0,7.14
An72,27,3.7,18.52,29.63
B1,95,32.63,52.63,65.26
B2,78,52.56,71.79,74.36
B21,7,14.29,14.29,42.86
B52,88,36.36,63.64,71.59
Be200,45,33.33,57.78,60.0
C130,217,58.06,70.97,77.88
C17,104,46.15,67.31,74.04
C2,122,65.57,72.13,79.51
C390,24,8.33,33.33,37.5
C5,59,22.03,49.15,61.02
CH47,46,52.17,63.04,71.74
CL415,51,62.75,64.71,68.63
E2,68,44.12,60.29,66.18
E7,31,19.35,29.03,32.26
EF2000,119,32.77,55.46,71.43
EMB314,27,7.41,18.52,25.93
F117,55,41.82,74.55,83.64
F14,79,21.52,36.71,56.96
F15,220,39.55,71.36,80.45
F16,271,52.4,76.75,85.98
F18,240,50.83,68.75,75.42
F22,101,14.85,64.36,76.24
F35,207,62.8,83.09,87.44
F4,103,10.68,31.07,44.66
H6,63,36.51,49.21,60.32
Il76,17,0.0,0.0,5.88
J10,106,31.13,53.77,63.21
J20,115,41.74,68.7,82.61
J35,5,0.0,0.0,0.0
JAS39,87,12.64,34.48,54.02
JF17,32,0.0,0.0,12.5
JH7,42,0.0,7.14,30.95
KAAN,8,0.0,0.0,0.0
KC135,58,32.76,58.62,70.69
KF21,17,0.0,5.88,17.65
KJ600,8,0.0,0.0,0.0
Ka27,17,5.88,52.94,64.71
Ka52,31,58.06,87.1,90.32
MQ9,54,25.93,48.15,53.7
Mi24,43,37.21,74.42,83.72
Mi26,12,8.33,8.33,33.33
Mi28,23,26.09,52.17,78.26
Mi8,34,11.76,50.0,73.53
Mig29,47,10.64,23.4,36.17
Mig31,71,25.35,50.7,63.38
Mirage2000,67,10.45,20.9,38.81
P3,73,36.99,60.27,72.6
RQ4,44,25.0,47.73,52.27
Rafale,106,26.42,53.77,66.98
SR71,40,40.0,62.5,70.0
Su24,69,39.13,56.52,68.12
Su25,64,28.12,50.0,64.06
Su34,70,60.0,70.0,77.14
Su57,60,13.33,35.0,55.0
TB001,12,0.0,0.0,0.0
TB2,63,69.84,73.02,74.6
Tornado,70,11.43,37.14,50.0
Tu160,58,36.21,63.79,81.03
Tu22M,52,17.31,38.46,51.92
Tu95,56,25.0,50.0,53.57
U2,47,23.4,44.68,51.06
UH60,36,19.44,50.0,66.67
US2,96,65.62,70.83,78.12
V22,128,50.0,71.88,77.34
V280,4,0.0,0.0,25.0
Vulcan,59,22.03,30.51,44.07
WZ7,17,0.0,11.76,11.76
XB70,26,0.0,34.62,34.62
Y20,40,35.0,52.5,62.5
YF23,20,0.0,35.0,75.0
Z10,7,0.0,28.57,42.86
Z19,11,36.36,63.64,72.73
