Class,Samples,Top-1,Top-3,Top-5
A10,106,49.06,58.49,61.32
A400M,72,58.33,72.22,73.61
AG600,40,45.0,55.0,57.5
AH64,66,66.67,83.33,84.85
AV8B,67,56.72,59.7,64.18
An124,30,60.0,86.67,90.0
An22,14,28.57,42.86,42.86
An225,14,21.43,35.71,42.86
An72,27,14.81,40.74,44.44
B1,95,54.74,70.53,75.79
B2,78,70.51,79.49,83.33
B21,7,57.14,71.43,85.71
B52,88,53.41,68.18,71.59
Be200,45,53.33,62.22,64.44
C130,217,68.66,78.34,80.18
C17,104,55.77,73.08,75.96
C2,122,58.2,73.77,77.87
C390,24,29.17,45.83,45.83
C5,59,42.37,61.02,62.71
CH47,46,76.09,82.61,84.78
CL415,51,70.59,78.43,82.35
E2,68,57.35,66.18,70.59
E7,31,38.71,48.39,61.29
EF2000,119,43.7,59.66,60.5
EMB314,27,33.33,48.15,48.15
F117,55,61.82,76.36,83.64
F14,79,40.51,48.1,56.96
F15,220,53.64,67.27,71.36
F16,271,48.34,63.84,68.27
F18,240,46.67,61.25,62.5
F22,101,55.45,60.4,62.38
F35,207,46.38,59.9,64.25
F4,103,35.92,53.4,55.34
H6,63,61.9,73.02,74.6
Il76,17,23.53,41.18,47.06
J10,106,53.77,66.98,68.87
J20,115,53.04,70.43,73.04
J35,5,40.0,60.0,100.0
JAS39,87,36.78,51.72,52.87
JF17,32,18.75,37.5,53.12
JH7,42,35.71,47.62,54.76
KAAN,8,37.5,75.0,75.0
KC135,58,50.0,72.41,75.86
KF21,17,23.53,29.41,29.41
KJ600,8,0.0,25.0,62.5
Ka27,17,70.59,76.47,82.35
Ka52,31,77.42,87.1,90.32
MQ9,54,53.7,64.81,64.81
Mi24,43,76.74,88.37,88.37
Mi26,12,33.33,50.0,58.33
Mi28,23,47.83,73.91,86.96
Mi8,34,61.76,73.53,79.41
Mig29,47,40.43,53.19,55.32
Mig31,71,49.3,56.34,56.34
Mirage2000,67,44.78,61.19,61.19
P3,73,69.86,78.08,80.82
RQ4,44,27.27,47.73,56.82
Rafale,106,43.4,50.0,52.83
SR71,40,40.0,62.5,67.5
Su24,69,56.52,63.77,68.12
Su25,64,51.56,68.75,75.0
Su34,70,40.0,57.14,62.86
Su57,60,38.33,46.67,55.0
TB001,12,33.33,41.67,58.33
TB2,63,76.19,77.78,79.37
Tornado,70,58.57,65.71,65.71
Tu160,58,44.83,60.34,65.52
Tu22M,52,48.08,61.54,67.31
Tu95,56,51.79,57.14,57.14
U2,47,38.3,51.06,53.19
UH60,36,63.89,80.56,80.56
US2,96,62.5,76.04,78.12
V22,128,72.66,82.81,86.72
V280,4,50.0,75.0,100.0
Vulcan,59,52.54,66.1,67.8
WZ7,17,29.41,47.06,52.94
XB70,26,30.77,34.62,38.46
Y20,40,52.5,67.5,75.0
YF23,20,30.0,55.0,75.0
Z10,7,57.14,85.71,85.71
Z19,11,54.55,90.91,90.91
