Class,Samples,Top-1,Top-3,Top-5
A10,106,84.91,89.62,89.62
A400M,72,79.17,86.11,87.5
AG600,40,80.0,90.0,90.0
AH64,66,78.79,86.36,86.36
AV8B,67,82.09,89.55,89.55
An124,30,80.0,83.33,83.33
An22,14,71.43,85.71,85.71
An225,14,64.29,100.0,100.0
An72,27,88.89,88.89,88.89
B1,95,89.47,91.58,91.58
B2,78,85.9,91.03,92.31
B21,7,85.71,85.71,100.0
B52,88,82.95,89.77,89.77
Be200,45,77.78,82.22,82.22
C130,217,80.18,84.79,86.18
C17,104,84.62,93.27,94.23
C2,122,90.16,92.62,93.44
C390,24,41.67,70.83,79.17
C5,59,71.19,83.05,86.44
CH47,46,86.96,89.13,93.48
CL415,51,88.24,94.12,94.12
E2,68,82.35,86.76,88.24
E7,31,83.87,87.1,87.1
EF2000,119,63.03,75.63,80.67
EMB314,27,70.37,85.19,85.19
F117,55,90.91,94.55,96.36
F14,79,77.22,83.54,86.08
F15,220,72.27,80.0,84.09
F16,271,73.43,84.87,85.98
F18,240,77.92,84.58,85.83
F22,101,73.27,82.18,85.15
F35,207,77.29,87.44,90.34
F4,103,68.93,80.58,85.44
H6,63,90.48,93.65,95.24
Il76,17,41.18,76.47,76.47
J10,106,75.47,83.02,86.79
J20,115,72.17,80.0,80.87
J35,5,60.0,80.0,100.0
JAS39,87,67.82,72.41,75.86
JF17,32,65.62,75.0,81.25
JH7,42,71.43,78.57,85.71
KAAN,8,62.5,75.0,87.5
KC135,58,86.21,87.93,89.66
KF21,17,64.71,70.59,76.47
KJ600,8,87.5,100.0,100.0
Ka27,17,100.0,100.0,100.0
Ka52,31,93.55,96.77,96.77
MQ9,54,90.74,94.44,96.3
Mi24,43,88.37,90.7,93.02
Mi26,12,66.67,75.0,91.67
Mi28,23,65.22,78.26,82.61
Mi8,34,79.41,94.12,94.12
Mig29,47,72.34,80.85,82.98
Mig31,71,76.06,78.87,78.87
Mirage2000,67,86.57,89.55,95.52
P3,73,94.52,98.63,98.63
RQ4,44,81.82,93.18,95.45
Rafale,106,83.96,89.62,91.51
SR71,40,75.0,82.5,82.5
Su24,69,82.61,92.75,94.2
Su25,64,79.69,84.38,89.06
Su34,70,85.71,88.57,90.0
Su57,60,65.0,75.0,75.0
TB001,12,83.33,100.0,100.0
TB2,63,95.24,96.83,96.83
Tornado,70,80.0,81.43,82.86
Tu160,58,82.76,89.66,91.38
Tu22M,52,78.85,90.38,94.23
Tu95,56,87.5,94.64,94.64
U2,47,65.96,82.98,82.98
UH60,36,88.89,94.44,94.44
US2,96,89.58,92.71,93.75
V22,128,88.28,95.31,95.31
V280,4,50.0,100.0,100.0
Vulcan,59,89.83,94.92,94.92
WZ7,17,64.71,82.35,94.12
XB70,26,88.46,92.31,92.31
Y20,40,70.0,82.5,82.5
YF23,20,90.0,100.0,100.0
Z10,7,71.43,71.43,100.0
Z19,11,72.73,100.0,100.0
