Class,Samples,Top-1,Top-3,Top-5
A10,106,59.43,66.98,71.7
A400M,72,59.72,81.94,88.89
AG600,40,52.5,67.5,72.5
AH64,66,75.76,84.85,84.85
AV8B,67,59.7,68.66,70.15
An124,30,53.33,70.0,80.0
An22,14,28.57,57.14,64.29
An225,14,7.14,28.57,57.14
An72,27,25.93,40.74,59.26
B1,95,62.11,71.58,77.89
B2,78,66.67,87.18,91.03
B21,7,0.0,42.86,42.86
B52,88,56.82,61.36,70.45
Be200,45,55.56,66.67,75.56
C130,217,76.04,85.71,89.4
C17,104,58.65,86.54,89.42
C2,122,68.85,80.33,87.7
C390,24,20.83,41.67,58.33
C5,59,44.07,62.71,69.49
CH47,46,76.09,80.43,86.96
CL415,51,76.47,78.43,82.35
E2,68,61.76,73.53,76.47
E7,31,38.71,41.94,45.16
EF2000,119,47.06,72.27,78.99
EMB314,27,29.63,37.04,44.44
F117,55,70.91,85.45,85.45
F14,79,40.51,48.1,60.76
F15,220,61.36,79.09,87.27
F16,271,64.21,85.61,92.25
F18,240,64.58,78.75,85.83
F22,101,45.54,68.32,74.26
F35,207,64.73,85.02,92.27
F4,103,37.86,62.14,71.84
H6,63,61.9,68.25,74.6
Il76,17,5.88,23.53,29.41
J10,106,57.55,68.87,72.64
J20,115,61.74,79.13,83.48
J35,5,0.0,0.0,0.0
JAS39,87,34.48,45.98,71.26
JF17,32,6.25,18.75,31.25
JH7,42,28.57,38.1,47.62
KAAN,8,0.0,25.0,25.0
KC135,58,50.0,72.41,74.14
KF21,17,0.0,23.53,23.53
KJ600,8,0.0,25.0,25.0
Ka27,17,70.59,70.59,82.35
Ka52,31,74.19,87.1,90.32
MQ9,54,53.7,64.81,74.07
Mi24,43,69.77,86.05,95.35
Mi26,12,33.33,33.33,50.0
Mi28,23,47.83,60.87,73.91
Mi8,34,52.94,73.53,85.29
Mig29,47,31.91,46.81,59.57
Mig31,71,49.3,66.2,71.83
Mirage2000,67,46.27,53.73,62.69
P3,73,69.86,82.19,86.3
RQ4,44,31.82,52.27,56.82
Rafale,106,40.57,62.26,75.47
SR71,40,42.5,67.5,72.5
Su24,69,53.62,62.32,68.12
Su25,64,54.69,64.06,70.31
Su34,70,62.86,74.29,80.0
Su57,60,38.33,56.67,66.67
TB001,12,16.67,25.0,50.0
TB2,63,73.02,79.37,82.54
Tornado,70,54.29,62.86,65.71
Tu160,58,58.62,81.03,82.76
Tu22M,52,38.46,61.54,69.23
Tu95,56,53.57,66.07,71.43
U2,47,42.55,53.19,63.83
UH60,36,61.11,86.11,86.11
US2,96,78.12,84.38,85.42
V22,128,75.78,83.59,87.5
V280,4,0.0,0.0,25.0
Vulcan,59,52.54,66.1,67.8
WZ7,17,23.53,35.29,41.18
XB70,26,38.46,42.31,61.54
Y20,40,50.0,70.0,77.5
YF23,20,25.0,50.0,80.0
Z10,7,57.14,71.43,71.43
Z19,11,54.55,72.73,72.73
